id,name
1,UNICREDIT BANK d.d. MOSTAR
2,INTESA SANPAOLO BANKA d.d. BiH
3,VOLKSBANK BH d.d. SARAJEVO
4,UNICREDIT BANK a.d. BANJA LUKA
5,MOJA BANKA d.d. SARAJEVO
6,SPARKASSE BANK d.d. SARAJEVO
7,NOVA BANKA a.d. BANJA LUKA
8,NLB RAZVOJNA BANKA a.d. BANJALUKA
9,SBERBANK a.d. Banja Luka
10,TURKISH ZIRAAT BANK BOSNIA d.d. SARAJEVO
11,VAKUFSKA BANKA d.d. SARAJEVO
12,UNION BANKA d.d. SARAJEVO
13,NLB BANKA d.d. TUZLA
14,PROCREDIT BANK d.d. SARAJEVO
15,POSTBANK BH d.d. SARAJEVO
16,RAIFFEISEN BANK d.d. BiH
17,HYPO ALPE-ADRIA-BANK d.d. MOSTAR
18,PRIVREDNA BANKA SARAJEVO d.d. SARAJEVO
19,BOR BANKA d.d. SARAJEVO
20,KOMERCIJALNA BANKA a.d. BANJA LUKA
21,BOSNA BANK INTERNATIONAL dd SARAJEVO
22,BALKAN INVESTMENT BANK a.d. BANJA LUKA
23,BOBAR BANKA a.d. BIJELJINA
24,HYPO ALPE-ADRIA-BANK a.d. BANJA LUKA
25,PAVLOVIC INTERNATIONAL BANK a.d. BIJELJINA
26,RAZVOJNA BANKA F BIH SARAJEVO
27,INVESTICIONO-KOMERCIJALNA BANKA d.d. ZENICA
28,KIB BANKA dd V.KLADUSA
29,VL. SMAJLOVIC ALMIR
30,MF BANKA a.d. BANJA LUKA
31,NLBRAZVOJNA BANKA a.d. BANJALUKA
32,WINNER VL
