id,company_id,bank_id,account,name
14912,7373,17,3060610000248211,DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU AUTO - WAL Z A TRGOVINU EXPORT-IMPORT I USLUGE VELIKA KLADUŠA
14913,7373,1,3385102226681862,AUTO-WAL DOO VELIKA KLADUŠA
14914,7374,16,1610350011310048,17 SEPTEMBAR DIONIČKO DRUŠTVO BOSANSKA KRUPA
14915,7374,28,1985011010013112,17. SEPTEMBAR D.D.
14916,7374,1,3385302200538412,""" 17 SEPTEMBAR "" D D BOSANSKA KRUPA"
14917,7375,16,1610350011680006,BOR DOO BOSANSKA KRUPA
14918,7375,1,3385302200537539,""" BOR "" DIONI KO DRU TVO BOSANSKA KRUPA"
14919,7376,1,3385102200217643,"ŠAKOMERC D O O VELIKA KLA-DRU TVO SA OGRANI ENOM ODGOVORNO U "" AKOMERC "" ZA SPOLJNU I UNUTRA NJU"
14920,7377,1,3385102200255958,"GALERIJA-S D O O VELIKA K-DRU TVO SA OGRANI ENOM ODGOVORNO U "" GALERIJA-S "" ZA UGOSTITELJSTVO TR"
14921,7378,1,3385102200088245,"DRVO-PRODUKT D O O VELIKA-DRU TVO SA OGRANI ENOM ODGOVORNO U "" DRVO- PRODUKT "" VELIKA KLADU A"
14922,7379,1,3385102200028590,"HASAZ - COMMERCE D O O VE-DRU TVO SA OGRANI ENOM ODGOVORNO U "" HASAZ - COMMERCE "" ZA PROIZVODNJU"
14923,7380,16,1610350003570030,GAZIJE BOSNE DOO BOSANSKI PETROVAC
14924,7381,16,1610350003450041,CITRUS DOO BIHAĆ
14925,7381,17,3060410000042484,CITRUS DOO BIHAĆ
14926,7381,1,3385002200687904,CITRUS D O O BIHAĆ
14927,7382,1,3385402200040312,"LE - KOMERC D O O SANSKI-DRU TVO SA OGRANI ENOM ODGOVORNO U "" LE - KOMERC "" SANSKI MOST"
